Date,TBSP,TBSP_synth
2023-10-24,1907.36,1927.3855404869996
2023-10-25,1911.94,1930.7693635707528
2023-10-26,1917.3,1931.2998355615914
2023-10-27,1920.58,1934.9036459522938
2023-10-30,1922.3,1935.610708813545
2023-10-31,1928.31,1939.9763067417896
2023-11-02,1932.92,1943.7166673110703
2023-11-03,1936.61,1946.23078850349
2023-11-06,1935.0,1945.325744547275
2023-11-07,1935.92,1945.9487674851557
2023-11-08,1935.26,1947.8266314423927
2023-11-09,1927.13,1942.809718438629
2023-11-10,1926.35,1939.6122198714193
2023-11-13,1920.51,1938.2186336115813
2023-11-14,1927.43,1938.4575772958758
2023-11-15,1926.86,1942.1812994595778
2023-11-16,1935.02,1945.5353749399117
2023-11-17,1935.6,1948.3969915696348
2023-11-20,1934.78,1945.8956578644668
2023-11-21,1935.51,1947.5634719529419
2023-11-22,1932.21,1947.0213720414806
2023-11-23,1928.08,1944.9030856627214
2023-11-24,1927.06,1944.1144312222186
2023-11-27,1927.0,1943.7762720363728
2023-11-28,1931.21,1946.2876700508345
2023-11-29,1936.19,1949.940975613168
2023-11-30,1934.4,1949.8439170105962
2023-12-01,1938.69,1950.6215674272353
2023-12-04,1940.06,1952.5193721677258
2023-12-05,1946.48,1955.6663978005536
2023-12-06,1952.06,1959.1521056514391
2023-12-07,1955.47,1960.9984139342912
2023-12-08,1954.63,1963.226647669895
2023-12-11,1952.23,1960.2669864929164
2023-12-12,1958.02,1963.5032986158046
2023-12-13,1958.93,1964.4071080550889
2023-12-14,1971.03,1971.2320244337131
2023-12-15,1975.61,1974.3170378253942
2023-12-18,1972.14,1975.752516519552
2023-12-19,1975.16,1974.2668001534687
2023-12-20,1978.4,1978.0457916312416
2023-12-21,1970.13,1976.981996926536
2023-12-22,1969.86,1974.4232248063677
2023-12-27,1967.02,1969.683315496432
2023-12-28,1968.22,1970.6664840546605
2023-12-29,1967.56,1971.9788070784994
2024-01-02,1960.47,1968.3216705766317
2024-01-03,1961.26,1968.5728560194545
2024-01-04,1962.92,1970.6509257077212
2024-01-05,1969.56,1970.4900150985732
2024-01-08,1973.5,1974.1319527289365
2024-01-09,1978.97,1980.3064391087921
2024-01-10,1976.09,1982.8627368581401
2024-01-11,1977.33,1978.957392938406
2024-01-12,1980.41,1980.0156187224457
2024-01-15,1971.02,1974.9463347985234
2024-01-16,1968.45,1974.2722864435204
2024-01-17,1967.0,1974.2492563131582
2024-01-18,1968.1,1975.7781828184754
2024-01-19,1967.08,1976.8191537004755
2024-01-22,1969.98,1977.587464408837
2024-01-23,1967.24,1975.7734877290673
2024-01-24,1962.5,1973.5437667139288
2024-01-25,1962.43,1972.2966711503796
2024-01-26,1960.97,1973.1065036209632
2024-01-29,1964.54,1974.2598078476467
2024-01-30,1967.48,1976.4288900491317
2024-01-31,1976.44,1978.6850180118163
2024-02-01,1978.49,1981.0233492425696
2024-02-02,1975.21,1971.064306399884
2024-02-05,1967.16,1978.5678360281686
2024-02-06,1968.51,1977.828892324646
2024-02-07,1968.33,1978.7834579541088
2024-02-08,1962.45,1977.3244222082942
2024-02-09,1967.12,1978.6924065666196
2024-02-12,1964.78,1979.03789895645
2024-02-13,1962.76,1976.5035902843397
2024-02-14,1964.71,1977.6620057129323
2024-02-15,1970.66,1981.509835111459
2024-02-16,1965.16,1979.096311727329
2024-02-19,1962.97,1979.6666728232462
2024-02-20,1965.86,1980.2706926538642
2024-02-21,1967.25,1980.3154860199147
2024-02-22,1970.37,1981.202602550859
2024-02-23,1973.56,1983.0995358760931
2024-02-26,1973.77,1985.0231395165163
2024-02-27,1972.3,1984.7364446668191
2024-02-28,1971.34,1983.2851722776256
2024-02-29,1971.69,1982.7636412047532
2024-03-01,1974.61,1986.3815272035706
2024-03-04,1976.95,1987.7948077704511
2024-03-05,1979.36,1989.4667401543068
2024-03-06,1977.64,1987.5232650750527
2024-03-07,1974.78,1987.4270571357156
2024-03-08,1977.42,1988.4695141183274
2024-03-11,1974.61,1988.2552840302767
2024-03-12,1972.39,1987.6443477795422
2024-03-13,1969.83,1985.839703173674
2024-03-14,1967.31,1985.2654175921632
2024-03-15,1970.07,1985.5877584407294
2024-03-18,1964.09,1982.86621203812
2024-03-19,1967.05,1982.8381075626758
2024-03-20,1967.42,1984.777457713998
2024-03-21,1967.49,1985.9163937399317
2024-03-22,1963.78,1982.728827291655
2024-03-25,1961.34,1981.7686919598546
2024-03-26,1963.48,1982.1201743050653
2024-03-27,1969.48,1985.6490073901648
2024-03-28,1972.24,1987.9586067959556
2024-04-02,1968.91,1985.3241283211773
2024-04-03,1969.28,1986.610846122997
2024-04-04,1974.89,1989.3284448867096
2024-04-05,1971.15,1990.1998340040502
2024-04-08,1965.68,1985.4836132836817
2024-04-09,1967.61,1986.7316083292146
2024-04-10,1963.5,1988.1075568529786
2024-04-11,1959.88,1983.188507534127
2024-04-12,1962.6,1985.302045815639
2024-04-15,1957.1,1983.5369987797183
2024-04-16,1950.95,1978.9952095431804
2024-04-17,1956.27,1980.0032032370093
2024-04-18,1960.33,1985.2409849650955
2024-04-19,1954.42,1985.7001765924194
2024-04-22,1959.25,1983.4819648563646
2024-04-23,1960.78,1984.6014136929298
2024-04-24,1961.27,1986.1041453042444
2024-04-25,1956.64,1984.3552645281186
2024-04-26,1960.1,1988.2135058122408
2024-04-29,1961.57,1988.67304181584
2024-04-30,1962.45,1988.5043180618882
2024-05-02,1965.44,1990.2352691575716
2024-05-06,1970.17,1992.728512398652
2024-05-07,1972.2,1993.183330706999
2024-05-08,1971.16,1994.0083769774742
2024-05-09,1970.59,1993.5040743532074
2024-05-10,1971.0,1994.531215944099
2024-05-13,1968.58,1992.4270965992155
2024-05-14,1966.42,1991.9004981940343
2024-05-15,1970.25,1992.5914987808053
2024-05-16,1972.56,1995.8371812725252
2024-05-17,1971.29,1995.1632886000268
2024-05-20,1971.78,1995.580717475243
2024-05-21,1972.03,1995.321948065157
2024-05-22,1971.77,1995.5814108241952
2024-05-23,1967.19,1994.8523831774207
2024-05-24,1962.52,1990.4014314690382
2024-05-27,1963.36,1991.9866624495157
2024-05-28,1963.18,1992.41376504899
2024-05-29,1967.52,1995.6084818418262
2024-05-31,1973.05,1997.5655574718867
2024-06-03,1979.52,2001.297963827603
2024-06-04,1980.36,2002.3972739484616
2024-06-05,1981.5,2003.7768039608795
2024-06-06,1978.94,2005.0513272838466
2024-06-07,1977.04,2004.7273879133152
2024-06-10,1973.19,2000.3297419229327
2024-06-11,1974.32,2000.950741367935
2024-06-12,1980.21,2002.3781416508316
2024-06-13,1979.14,2003.4619101830792
2024-06-14,1977.13,2003.9235873207708
2024-06-17,1974.43,2002.043227506104
2024-06-18,1978.98,2000.322586443951
2024-06-19,1979.43,2002.2312024190803
2024-06-20,1978.58,2001.0596791794276
2024-06-21,1981.7,2004.7373903139292
2024-06-24,1984.54,2006.1105534477667
2024-06-25,1985.9,2008.1016301168727
2024-06-26,1984.38,2007.7541606956734
2024-06-27,1987.91,2007.5110315691006
2024-06-28,1987.0,2007.541925491463
2024-07-01,1983.61,2007.0977831362002
2024-07-02,1983.98,2006.1232794651128
2024-07-03,1985.86,2008.0755837946713
2024-07-04,1980.14,2007.169595510464
2024-07-05,1980.39,2006.267047401261
2024-07-08,1983.38,2006.2772958547996
2024-07-09,1985.05,2007.12291251442
2024-07-10,1986.98,2010.531294969283
2024-07-11,1992.32,2011.2893677095226
2024-07-12,1994.05,2013.969582593857
2024-07-15,1996.32,2015.718529207627
2024-07-16,2002.78,2021.0520594558516
2024-07-17,2003.63,2021.0687719497253
2024-07-18,2001.57,2019.0287536741594
2024-07-19,1998.19,2019.0512867236932
2024-07-22,1998.98,2019.0920615958562
2024-07-23,1999.13,2019.391647118553
2024-07-24,2003.4,2021.3402766157662
2024-07-25,2004.32,2020.7976716888456
2024-07-26,2003.15,2022.7103797421087
2024-07-29,2005.62,2024.4173236236306
2024-07-30,2007.81,2025.2764286971023
2024-07-31,2016.88,2031.1778452893275
2024-08-01,2022.79,2035.038091104383
2024-08-02,2029.97,2041.5821277485775
2024-08-05,2041.33,2044.7530885444287
2024-08-06,2040.09,2046.5118323585962
2024-08-07,2034.4,2041.989700042937
2024-08-08,2032.51,2041.2321424699967
2024-08-09,2034.85,2043.0105753541761
2024-08-12,2033.67,2040.4054503590241
2024-08-13,2037.39,2044.7392908996949
2024-08-14,2038.83,2045.7993999191026
2024-08-16,2029.31,2043.15913096771
2024-08-19,2025.31,2038.2508865842349
2024-08-20,2025.26,2038.4173282169468
2024-08-21,2031.74,2042.171145189729
2024-08-22,2031.07,2041.3892732155202
2024-08-23,2033.74,2042.323057865157
2024-08-26,2033.83,2043.404112342443
2024-08-27,2030.85,2042.7838185482158
2024-08-28,2030.43,2041.812899943078
2024-08-29,2023.26,2037.9494010421008
2024-08-30,2029.58,2042.9534484548617
2024-09-02,2025.92,2041.6334427303316
2024-09-03,2031.32,2042.031721715439
2024-09-04,2035.44,2046.6147850097134
2024-09-05,2037.65,2046.5075276529037
2024-09-06,2039.98,2051.053548617529
2024-09-09,2040.31,2050.174021381728
2024-09-10,2042.19,2050.857620011589
2024-09-11,2046.66,2054.4330232714915
2024-09-12,2046.59,2053.946340340822
2024-09-13,2048.08,2056.0419423404837
2024-09-16,2047.51,2055.0958772017707
2024-09-17,2046.71,2055.9656572968343
2024-09-18,2045.78,2054.8284156850546
2024-09-19,2047.39,2054.7272216179617
2024-09-20,2043.8,2053.787524601243
2024-09-23,2043.27,2054.7988708581956
2024-09-24,2042.96,2052.7839485890854
2024-09-25,2043.7,2054.195428163256
2024-09-26,2048.39,2056.6200694338554
2024-09-27,2054.49,2060.670714190929
2024-09-30,2051.83,2059.8672653586314
2024-10-01,2050.68,2060.0272416990742
2024-10-02,2045.57,2057.456057671412
2024-10-03,2045.51,2056.808858632306
2024-10-04,2041.99,2055.591270730621
2024-10-07,2034.43,2050.9655882673947
2024-10-08,2035.97,2053.0788584839024
2024-10-09,2036.64,2053.2297946416006
2024-10-10,2035.84,2051.9508293342797
2024-10-11,2032.7,2051.192047111131
2024-10-14,2028.82,2048.3345107812647
